,stabil,melambai_kiri,salam,melambai_kanan,vampire,gerakn 12 detik,servo pinggang 0 derajat,gerakan_45 derajat kanan,gerakan_ 0 derajat,gerakan pinggang kiri,gerakan pinggang tengah pertama,gerakan pinggang tengah kedua,gerakan pinggang kanan pertama,gerakn pinggang kanan kedua
0,75,0,120,110,180.0,225.0,180.0,,,180.0,180.0,180.0,180.0,
1,115,90,140,150,180.0,225.0,225.0,,,250.0,180.0,300.0,240.0,
2,180,180,180,180,200.0,225.0,210.0,,,45.0,270.0,270.0,200.0,
3,0,0,0,0,0.0,90.0,0.0,,,90.0,0.0,0.0,90.0,0.0
4,115,150,140,80,,,,,,,,,,
5,70,10,0,150,,,,,,,,,,
6,25,25,25,25,,,,,,,,,,
7,180,180,180,180,,,,,,,,,,
8,110,110,110,110,180.0,,,180.0,180.0,180.0,180.0,,90.0,
9,110,110,110,110,,,,,,,,,,
10,30,30,30,30,,,,,,,,,,
11,80,80,80,80,,,,,,,,,,
12,90,90,90,90,180.0,90.0,180.0,,,180.0,180.0,180.0,180.0,
13,120,120,120,120,160.0,100.0,90.0,,,45.0,160.0,280.0,100.0,
14,115,115,115,115,210.0,,260.0,,,210.0,250.0,250.0,210.0,
15,120,120,120,120,0.0,0.0,90.0,,,0.0,0.0,0.0,90.0,0.0
